DOI	year	author
10.1145/3020165.3020168	2017	Hienert, Daniel
10.1145/2854946.2854970	2016	McKay, Dana
10.1145/2854946.2854970	2016	Buchanan, George
10.1145/2854946.2854976	2016	Crescenzi, Anita
10.1145/2854946.2854976	2016	Kelly, Diane
10.1145/2854946.2854976	2016	Azzopardi, Leif
10.1145/2854946.2854971	2016	Tran, Tuan A.
10.1145/2854946.2854971	2016	Schwarz, Sven
10.1145/2854946.2854971	2016	Niederée, Claudia
10.1145/2854946.2854971	2016	Maus, Heiko
10.1145/2854946.2854971	2016	Kanhabua, Nattiya
10.1145/3498366.3505834	2022	Valdunciel, Pablo
10.1145/3498366.3505834	2022	Bhatti, Omair Shahzad
10.1145/3498366.3505834	2022	Barz, Michael
10.1145/3498366.3505834	2022	Sonntag, Daniel
10.1145/3498366.3505781	2022	Yi, Siqi
10.1145/3498366.3505781	2022	Zhang, Yan
10.1145/3498366.3505781	2022	B. Trace, Ciaran
10.1145/3498366.3505781	2022	Yvette Williams-Brown, Marian
10.1145/3498366.3505755	2022	Zdanovic, Dominyk
10.1145/3498366.3505755	2022	Lembcke, Tanja Julie
10.1145/3498366.3505755	2022	Bogers, Toine
10.1145/3498366.3505825	2022	Chang, Yung-Sheng
10.1145/3498366.3505825	2022	Gwizdka, Jacek
10.1145/3498366.3505766	2022	Bink, Markus
10.1145/3498366.3505766	2022	Zimmerman, Steven
10.1145/3498366.3505766	2022	Elsweiler, David
10.1145/3406522.3446043	2021	Papenmeier, Andrea
10.1145/3406522.3446043	2021	Kern, Dagmar
10.1145/3406522.3446043	2021	Hienert, Daniel
10.1145/3406522.3446043	2021	Sliwa, Alfred
10.1145/3406522.3446043	2021	Aker, Ahmet
10.1145/3406522.3446043	2021	Fuhr, Norbert
10.1145/3406522.3446020	2021	Medlar, Alan
10.1145/3406522.3446020	2021	Li, Jing
10.1145/3406522.3446020	2021	Głowacka, Dorota
10.1145/3343413.3377972	2020	Sitbon, Laurianne
10.1145/3343413.3377972	2020	Favre, Benoit
10.1145/3343413.3377972	2020	Brereton, Margot
10.1145/3343413.3377972	2020	Koplick, Stewart
10.1145/3343413.3377972	2020	Fell, Lauren
10.1145/3343413.3377989	2020	O'Brien, Heather L.
10.1145/3343413.3377989	2020	Kampen, Andrea
10.1145/3343413.3377989	2020	Cole, Amelia W.
10.1145/3343413.3377989	2020	Brennan, Kathleen
10.1145/3498366.3505836	2022	Kiesel, Johannes
10.1145/3498366.3505836	2022	Bernhard, Volker
10.1145/3498366.3505836	2022	Gohsen, Marcel
10.1145/3498366.3505836	2022	Roth, Josef
10.1145/3498366.3505836	2022	Stein, Benno
10.1145/3498366.3505833	2022	Kotkov, Denis
10.1145/3498366.3505833	2022	Medlar, Alan
10.1145/3498366.3505833	2022	Maslov, Alexandr
10.1145/3498366.3505833	2022	Satyal, Umesh Raj
10.1145/3498366.3505833	2022	Neovius, Mats
10.1145/3498366.3505833	2022	Glowacka, Dorota
10.1145/3498366.3505835	2022	Otto, Christian
10.1145/3498366.3505835	2022	Rokicki, Markus
10.1145/3498366.3505835	2022	Pardi, Georg
10.1145/3498366.3505835	2022	Gritz, Wolfgang
10.1145/3498366.3505835	2022	Hienert, Daniel
10.1145/3498366.3505835	2022	Yu, Ran
10.1145/3498366.3505835	2022	von Hoyer, Johannes
10.1145/3498366.3505835	2022	Hoppe, Anett
10.1145/3498366.3505835	2022	Dietze, Stefan
10.1145/3498366.3505835	2022	Holtz, Peter
10.1145/3498366.3505835	2022	Kammerer, Yvonne
10.1145/3498366.3505835	2022	Ewerth, Ralph
10.1145/3498366.3505837	2022	Li, Jiayu
10.1145/3498366.3505837	2022	Zhang, Hantian
10.1145/3498366.3505837	2022	He, Zhiyu
10.1145/3498366.3505837	2022	Xu, Rongwu
10.1145/3498366.3505837	2022	Wu, Pingfei
10.1145/3498366.3505837	2022	Zhang, Min
10.1145/3498366.3505837	2022	Liu, Yiqun
10.1145/3498366.3505837	2022	Ma, Shaoping
10.1145/3498366.3505791	2022	Schedl, Markus
10.1145/3498366.3505791	2022	Brandl, Stefan
10.1145/3498366.3505791	2022	Lesota, Oleg
10.1145/3498366.3505791	2022	Parada-Cabaleiro, Emilia
10.1145/3498366.3505791	2022	Penz, David
10.1145/3498366.3505791	2022	Rekabsaz, Navid
10.1145/3498366.3505829	2022	Li, Yuan
10.1145/3498366.3505829	2022	Capra, Rob
10.1145/3498366.3505783	2022	Chavula, Catherine
10.1145/3498366.3505783	2022	Choi, Yujin
10.1145/3498366.3505783	2022	Rieh, Soo Young
10.1145/3498366.3505786	2022	Shi, Li
10.1145/3498366.3505786	2022	Bhattacharya, Nilavra
10.1145/3498366.3505786	2022	Das, Anubrata
10.1145/3498366.3505786	2022	Lease, Matt
10.1145/3498366.3505786	2022	Gwizdka, Jacek
10.1145/3498366.3505845	2022	Landoni, Monica
10.1145/3498366.3505845	2022	Aliannejadi, Mohammad
10.1145/3498366.3505845	2022	Huibers, Theo
10.1145/3498366.3505845	2022	Murgia, Emiliana
10.1145/3498366.3505845	2022	Pera, Maria Soledad
10.1145/3498366.3505828	2022	Penha, Gustavo
10.1145/3498366.3505828	2022	Krikon, Eyal
10.1145/3498366.3505828	2022	Murdock, Vanessa
10.1145/3498366.3505782	2022	Du, Jia Tina
10.1145/3498366.3505789	2022	Volokhin, Sergey
10.1145/3498366.3505789	2022	Collins, Marcus
10.1145/3498366.3505789	2022	Rokhlenko, Oleg
10.1145/3498366.3505789	2022	Agichtein, Eugene
10.1145/3498366.3505827	2022	Chris Zhao, Yuxiang
10.1145/3498366.3505827	2022	Lian, Jingwen
10.1145/3498366.3505827	2022	Song, Shijie
10.1145/3498366.3505827	2022	Ying, Jun
10.1145/3498366.3505778	2022	Porcaro, Lorenzo
10.1145/3498366.3505778	2022	Gomez, Emilia
10.1145/3498366.3505778	2022	Castillo, Carlos
10.1145/3498366.3505831	2022	Crescenzi, Anita
10.1145/3498366.3505831	2022	Li, Lan
10.1145/3498366.3505830	2022	Xing, Zhaopeng
10.1145/3498366.3505830	2022	Yuan, Xiaojun
10.1145/3498366.3505830	2022	Mostafa, Javed
10.1145/3498366.3505832	2022	Bondarenko, Alexander
10.1145/3498366.3505832	2022	Shirshakova, Ekaterina
10.1145/3498366.3505832	2022	Hagen, Matthias
10.1145/3498366.3505823	2022	Buchanan, George
10.1145/3498366.3505823	2022	Kelly, Ryan
10.1145/3498366.3505823	2022	Makri, Stephann
10.1145/3498366.3505823	2022	McKay, Dana
10.1145/3498366.3505822	2022	McKay, Dana
10.1145/3498366.3505822	2022	Owyong, Kaipin
10.1145/3498366.3505822	2022	Makri, Stephann
10.1145/3498366.3505822	2022	Gutierrez Lopez, Marisela
10.1145/3498366.3505816	2022	Shah, Chirag
10.1145/3498366.3505816	2022	Bender, Emily M.
10.1145/3498366.3505771	2022	Steichen, Ben
10.1145/3498366.3505771	2022	Kosasih, Wilsen
10.1145/3498366.3505771	2022	Becerra, Christian
10.1145/3498366.3505761	2022	O'Brien, Heather
10.1145/3498366.3505761	2022	Cole, Amelia
10.1145/3498366.3505761	2022	Kampen, Andrea
10.1145/3498366.3505761	2022	Brennan, Kathy
10.1145/3498366.3505819	2022	Smith, Catherine
10.1145/3498366.3505819	2022	Urgo, Kelsey
10.1145/3498366.3505819	2022	Arguello, Jaime
10.1145/3498366.3505819	2022	Capra, Robert
10.1145/3498366.3505817	2022	Li, Yuan
10.1145/3498366.3505817	2022	Zhang, Yinglong
10.1145/3498366.3505817	2022	Capra, Robert
10.1145/3498366.3505810	2022	Choi, Bogeum
10.1145/3498366.3505810	2022	Casteel, Sarah
10.1145/3498366.3505810	2022	Capra, Robert
10.1145/3498366.3505810	2022	Arguello, Jaime
10.1145/3498366.3505821	2022	Ibáñez, Luis-Daniel
10.1145/3498366.3505821	2022	Simperl, Elena
10.1145/3498366.3505818	2022	Soufan, Ayah
10.1145/3498366.3505818	2022	Ruthven, Ian
10.1145/3498366.3505818	2022	Azzopardi, Leif
10.1145/3498366.3505812	2022	Draws, Tim
10.1145/3498366.3505812	2022	Inel, Oana
10.1145/3498366.3505812	2022	Tintarev, Nava
10.1145/3498366.3505812	2022	Baden, Christian
10.1145/3498366.3505812	2022	Timmermans, Benjamin
10.1145/3498366.3505813	2022	Windl, Maximiliane
10.1145/3498366.3505813	2022	Ortloff, Anna-Marie
10.1145/3498366.3505813	2022	Henze, Niels
10.1145/3498366.3505813	2022	Schwind, Valentin
10.1145/3498366.3505814	2022	Pérez Ortiz, Maria
10.1145/3498366.3505814	2022	Bulathwela, Sahan
10.1145/3498366.3505814	2022	Dormann, Claire
10.1145/3498366.3505814	2022	Verma, Meghana
10.1145/3498366.3505814	2022	Kreitmayer, Stefan
10.1145/3498366.3505814	2022	Noss, Richard
10.1145/3498366.3505814	2022	Shawe-Taylor, John
10.1145/3498366.3505814	2022	Rogers, Yvonne
10.1145/3498366.3505814	2022	Yilmaz, Emine
10.1145/3498366.3505769	2022	Liu, Ying-Hsang
10.1145/3498366.3505769	2022	Thomas, Paul
10.1145/3498366.3505769	2022	Gedeon, Tom
10.1145/3498366.3505769	2022	Rusnachenko, Nicolay
10.1145/3498366.3505824	2022	Narvala, Hitarth
10.1145/3498366.3505824	2022	Mcdonald, Graham
10.1145/3498366.3505824	2022	Ounis, Iadh
10.1145/3498366.3505820	2022	Wei, Winter
10.1145/3498366.3505820	2022	Munteanu, Cosmin
10.1145/3498366.3505820	2022	Halvey, Martin
10.1145/3498366.3505809	2022	Papenmeier, Andrea
10.1145/3498366.3505809	2022	Frummet, Alexander
10.1145/3498366.3505809	2022	Kern, Dagmar
10.1145/3498366.3505815	2022	Thomas, Paul
10.1145/3498366.3505815	2022	Kazai, Gabriella
10.1145/3498366.3505815	2022	White, Ryen
10.1145/3498366.3505815	2022	Craswell, Nick
10.1145/3498366.3505756	2022	Huang, Yue
10.1145/3498366.3505756	2022	Obada-Obieh, Borke
10.1145/3498366.3505756	2022	Redmiles, Elissa M.
10.1145/3498366.3505756	2022	Lokam, Satya
10.1145/3498366.3505756	2022	Beznosov, Konstantin
10.1145/3498366.3505770	2022	Abualsaud, Mustafa
10.1145/3498366.3505770	2022	Smucker, Mark
10.1145/3406522.3446055	2021	Gomes, Sebastian
10.1145/3406522.3446055	2021	Hoeber, Orland
10.1145/3406522.3446054	2021	Benham, Rodger
10.1145/3406522.3446054	2021	Mackenzie, Joel
10.1145/3406522.3446054	2021	Culpepper, J. Shane
10.1145/3406522.3446054	2021	Moffat, Alistair
10.1145/3406522.3446046	2021	Palani, Srishti
10.1145/3406522.3446046	2021	Ding, Zijian
10.1145/3406522.3446046	2021	MacNeil, Stephen
10.1145/3406522.3446046	2021	Dow, Steven P.
10.1145/3406522.3446045	2021	Shah, Chirag
10.1145/3406522.3446045	2021	White, Ryen W.
10.1145/3406522.3446044	2021	Li, Yuan
10.1145/3406522.3446044	2021	Ward, Austin R.
10.1145/3406522.3446044	2021	Capra, Rob
10.1145/3406522.3446058	2021	Aliannejadi, Mohammad
10.1145/3406522.3446058	2021	Landoni, Monica
10.1145/3406522.3446058	2021	Huibers, Theo
10.1145/3406522.3446058	2021	Murgia, Emiliana
