zotero_ID	DOI	authors	title	year	type	pages	codes	keywords	abstract
52L8KDC2	10.1145/3176349.3176875	Liu, Jingjing; Li, Yuan	Supporting Information Task Accomplishment: Helpful Systems and Their Features	2018	short	253-256	completed; design;method;questionnaire; design;type;descriptive; Vivien; domain;domain-agnostic; design;task; design;participants;32	helpful system features; task accomplishment; task outcome	We investigated systems and their features that help people use retrieved information to accomplish their information tasks. Participants were 32 college students who first recalled a recently accomplished task, and then worked on a task that they would need to finish. They answered questionnaire questions about what systems and features are helpful for task accomplishment. Our results discovered multiple helpful systems and features, which have implications on designing search systems for better helping accomplish tasks.
DU9F4HUL	10.1145/3020165.3022130	Jachja, Tiffany; Douglas, Oard W.	Goal-Directed Information Seeking in Time-Synchronized and Topic-Linked Records of the Apollo Lunar Missions	2017	short	269-272	completed; data;re-use;Apollo program resources; design;method;content analysis; design;method;interview; design;method;questionnaire; design;method;think-aloud; design;participants;5; design;task; design;type;descriptive; domain;research; infrastructure;share; infrastructure;share;Apollo Archive Explorer (AEX);http://www.umiacs.umd.edu/~oard/apollo/aex; Vivien	apollo archive explorer; content linking; time synchronization; topic-linking; user study	We live in an era in which ubiquitous networks bring together information from a vast array of sources. The resulting confluence creates new opportunities for providing integrated access. This paper describes the use of a system for exploring the rich recorded legacy of the Apollo missions to the Moon, using the event structure of each mission as an organizing principle. Qualitative analysis of a study with five journalism students indicates that the system is capable of supporting goal-directed information seeking.
84LFFLB7	10.1145/3020165.3020178	Hoeber, Orland; Sarkar, Anoop; Vacariu, Andrei; Whitney, Max; Gaikwad, Manali; Kaur, Gursimran	Evaluating the Value of Lensing Wikipedia During the Information Seeking Process	2017	long	77-86	completed; design;method;questionnaire; design;method;log analysis; design;type;descriptive; design;method;user study; Vivien; design;method;statistical tests; design;task; data;re-use;Wikipedia; domain;wikipedia; design;participants;14; infrastructure;Lensing Wikipedia	information seeking; user study; wikipedia search	While Wikipedia is an excellent source of information about entities, discovering relationships among them is not wellsupported by its search features. Lensing Wikipedia was designed as an alternate search and summarization interface, providing a set of ﬁltering, visualization, and exploration tools that enable searching among the connections between people, organizations, and locations. In this paper, we present the results of a user study on how these features are used in each of Vakkari’s stages of information seeking (pre-focus, focus formulation, and post-focus), and the participants perceptions of the utility of these features to their overall information-seeking goals. Participants primarily used input and control features during the pre-focus stage, informational and personalization features during the focus formulation stage, and personalization features during the post-focus stage. Findings from this study contribute to understanding how people use advanced search, summarization, and visualization tools to aid their information seeking tasks.
U25ZHWIK	10.1145/2854946.2855001	Ghosh, Debanjan	Effects of Topic Familiarity on Query Reformulation Strategies	2016	short	261-264	design;method;controlled experiment; design;participants;number; completed; design;method;questionnaire; design;type;explanatory; maria; design;participants;background; domain;search; domain;medical; data;re-use;MEDLINE abstracts; design;re-use;task;TREC search tasks	NA	Users employ various Query Reformulation (QR) Strategies to improve their search experiences as well as to retrieve the better results. In this exploratory research, we investigate the association of topic familiarities with such QR strategies. We design a user study where 38 participants with different levels of Topic Familiarity (TF) took part in the TREC Genomics Search Track (a total of ﬁve search tasks). We conducted two experiments: 1) we evaluate a set of predeﬁned QR strategies to discover if participants with a speciﬁc level of TF tends to use a speciﬁc QR strategy. 2) we propose a supervised classiﬁcation system that classiﬁes consecutive queries made by the participants with different levels (low, medium, and high) of topic familiarity. Various lexical and distributional semantic features are implemented and feature analysis shows that participants with low familiarity tend to alter the spelling and use stemming for QR whereas participants with medium or higher familiarity are inclined to add new terms and phrases to reformulate queries.
YU6RNVCM	10.1145/2854946.2854958	Sarrafzadeh, Bahareh; Vtyurina, Alexandra; Lank, Edward; Vechtomova, Olga	Knowledge Graphs versus Hierarchies: An Analysis of User Behaviours and Perspectives in Information Seeking	2016	long	91-100	completed; design;method;interview; design;type;exploratory; mark; design;method;think-aloud; domain;search; design;participants;demographics;subject; design;share;task; design;method;grounded-theory; design;participants;gender	NA	In exploratory search, how information is presented to the user and how the user interacts with the presented information heavily inﬂuence the user’s success. In this paper, we examine two diﬀerent spatial representations of search results: knowledge graphs and hierarchical trees. Through interaction logs we show that knowledge graphs can eﬀectively reduce the need to read source content with no reduction in the quality of the information gathered by the user. Through qualitative interviews and thinkalounds we explore factors that inﬂuence user perception of diﬀerent search results representations including biases, task, perceived structure of the data, and problem-solving approach. Overall, these results enhance our understanding of the role each of these representations can play in information seeking.
97XDGKVQ	10.1145/3020165.3020172	Htun, Nyi Nyi; Halvey, Martin; Baillie, Lynne	An Interface for Supporting Asynchronous Multi-Level Collaborative Information Retrieval	2017	long	225–234	completed; design;method;interview; design;method;questionnaire; design;type;descriptive; Vivien; design;task; design;type;resource paper; design;participants;20; design;re-use;NASA TLX; domain;collaborative search; design;re-use;System Usability Scale; infrastructure;share;MLCIR interface in paper	information retrieval; asynchronous collaboration; information access; interface design; non-uniform access	A great deal of research into Collaborative Information Retrieval (CIR) has assumed that search team members have the same level of unrestricted access to information. However, case studies and observations from different domains including government, healthcare and legal, have suggested that CIR sometimes involves people with unequal access to information. This type of scenario has been referred to as Multi-Level CIR (MLCIR). In addition to supporting collaboration, MLCIR systems must ensure that there is no unintended disclosure of sensitive information, this is an under investigated area of research. In this paper we present results of an evaluation of an interface we have designed for MLCIR scenarios. Pairs of participants used the interface under 3 different information access scenarios for a variety of search tasks. These scenarios included 1 CIR and 2 MLCIR scenarios, namely: full access (FA), document removal (DR) and term blacklisting (TR). Design interviews were conducted post evaluation to obtain qualitative feedback from participants. Evaluation results showed that our interface performed well for both DR and FA scenarios but for TR, team members with less access had a negative influence on their partner's search performance, demonstrating insights into how different MLCIR scenarios should be supported. Design interview results showed that our interface helped the participants to reformulate their queries, understand their partner's performance, reduce duplicated work and review their team's search history without disclosing sensitive information.
A3U96NBT	10.1145/3020165.3020175	Narang, Kanika; Dumais, Susan; Craswell, Nick; Liebling, Dan; Ai, Qingyao	Large-Scale Analysis of Email Search and Organizational Strategies	2017	long	215–223	completed; design;method;log analysis; design;type;descriptive; maria; domain;e-mail; data;Microsoft’s web email service; domain;personal information management	email management strategies; email search	Email continues to be an important form of communication as well as a way to manage tasks and archive personal information. As the volume of email grows, organizing and finding relevant email remains challenging. In this paper, we present a large-scale log analysis of the activities that people perform on email mes-sages (accessing external information via links or attachments, responding to messages, and organizing messages), their search behavior, and their organizational practices in a popular web email client. First, we characterize general email activities as well as activities associated with search. We find that within search sessions, peo-ple are more likely to access information and respond to messag-es but less likely to organize. Second, we examine the relation-ship between characteristics of a person's mailbox and their search and organizational practices. People with larger mailboxes tend to organize more, respond a little more, and access infor-mation less. People with larger mailboxes and folder structures search more, but the number of folders has less influence on search. Third, we extend previous work on email organization (e.g., filers vs. pilers; cleaners vs. keepers) by examining the extent to which these strategies are evident in our large-scale analysis and influence email activities and search. People who rely heavily on one organizational strategy tend to use others less. People who organize less tend to search more. Finally, we de-scribe how these insights can influence the design of email search.
8S5STNZX	10.1145/3020165.3020189	Bota, Horatiu; Bennett, Paul N.; Awadallah, Ahmed Hassan; Dumais, Susan	Self-Es: The Role of Emails-to-Self in Personal Information Management	2017	long	205–214	completed; design;method;questionnaire; data;re-use; toine; design;type;descriptive; design;type;predictive; domain;personal information; domain;e-mail; design;method;data donation; data;re-use;Avocado Research Email Collection; infrastructure;Custom email labeling tool	personal information management; email search	Email has been central to online communication for the past two decades. Through constant use, new information flows are being defined around users' interactions with emails. Alongside traditional messages, the email inbox is an always-available repository of to-do lists, reminders, files and notes. In this paper, we investigate the use of self-addressed emails (self-Es) as an information management tool, by analysing both: (i) responses to a survey about email use; and (ii) a collection of user donated self-addressed emails. Our results show that sending self-Es is a frequent behaviour among the users we questioned. In addition, we find that to-dos and reminders are the most popular type of information contained in emails-to-self. Our findings have direct implications for the development of systems that support novel interactions with information flows centred around email.
S5U3KMZ8	10.1145/3020165.3020166	O'Brien, Heather; McKay, Jocelyn; Vangeest, Jacob	Learning From the News: The Role of Topic, Multimedia and Interest in Knowledge Retention	2017	long	185–193	design;method;controlled experiment; completed; design;method;interview; design;method;questionnaire; domain;news; design;type;descriptive; Vivien; infrastructure;NVivo; data;re-use;previous study; domain;learning; design;participants;78; design;re-use;previous papers	information interaction; learning; multimedia; online news	We conducted a study to examine how people interact with and learn from human-interest news stories. Participants engaged with news stories and completed knowledge retention tests to evaluate their ability to remember the content. We analyzed how the stories and the way in which they were presented (audio, video, text) related to knowledge retention. Results demonstrated a complex interaction between topic and knowledge retention, where participants obtained higher scores for the least preferred story. We explored these findings with respect to participants' demographics and user experience.
FG9S7R5U	10.1145/3020165.3020185	Novin, Alamir; Meyers, Eric	Making Sense of Conflicting Science Information: Exploring Bias in the Search Engine Result Page	2017	long	175–184	design;method;controlled experiment; completed; design;method;questionnaire; design;type;descriptive; domain;WWW; Vivien; design;participants;60; domain;science	bias; biases; document genre; document order; heuristics; search engine results page; serp	Currently, there is widespread media coverage about the problems with 'fake news' that appears in social media, but the effects of biased information that appears in search engine results is also increasing. The authors argue that the search engine results page (SERP) exposes three important types of bias: source bias, algorithmic bias, and cognitive bias. To explore the relationship between these three types of bias, we conducted a mixed methods study with sixty participants (plus fourteen in a pilot to make a total of seventy-four participants). Within a library setting, participants were provided with mock search engine pages that presented order-controlled sources on a science controversy. Participants were then asked to rank the sources' usefulness and then summarize the controversy. We found that participants ranked the usefulness of sources depending on its presentation within a SERP. In turn, this also influenced how the participants summarized the topic. We attribute the differences in the participants' writings to the cognitive biases that affect a user's judgment when selecting sources on a SERP. We identify four main cognitive biases that a SERP can evoke in students: Priming, Anchoring, Framing, and the Availability Heuristic. While policing information quality is a quixotic task, changes can be made to both SERPs and a user's decision-making when selecting sources. As bias emerges both on the system side and the user side of search, we suggest a two-fold solution is required to address these challenges.
