DOI	year	code
10.1145/3176349.3176875	2018	design;method;questionnaire
10.1145/3176349.3176875	2018	design;type;experimental
10.1145/3176349.3176875	2018	annotator;vivien
10.1145/3176349.3176875	2018	document;genre;domain-agnostic
10.1145/3020165.3022130	2017	design;method;content analysis
10.1145/3020165.3022130	2017	design;method;interview
10.1145/3020165.3022130	2017	design;method;questionnaire
10.1145/3020165.3022130	2017	design;method;think-aloud
10.1145/3020165.3022130	2017	design;type;experimental
10.1145/3020165.3022130	2017	task;work;research
10.1145/3020165.3022130	2017	infrastructure;share
10.1145/3020165.3022130	2017	annotator;vivien
10.1145/3020165.3020178	2017	design;method;questionnaire
10.1145/3020165.3020178	2017	design;method;log analysis
10.1145/3020165.3020178	2017	design;type;experimental
10.1145/3020165.3020178	2017	design;method;user study
10.1145/3020165.3020178	2017	annotator;vivien
10.1145/3020165.3020178	2017	design;method;data analysis
10.1145/3020165.3020178	2017	document;genre;Wikipedia
10.1145/2854946.2855001	2016	design;method;controlled experiment
10.1145/2854946.2855001	2016	design;method;questionnaire
10.1145/2854946.2855001	2016	design;type;experimental
10.1145/2854946.2855001	2016	annotator;maria
10.1145/2854946.2855001	2016	task;iir;search
10.1145/2854946.2855001	2016	document;genre;medical
10.1145/2854946.2855001	2016	task;work;medical
10.1145/2854946.2854958	2016	design;method;interview
10.1145/2854946.2854958	2016	design;type;experimental
10.1145/2854946.2854958	2016	annotator;mark
10.1145/2854946.2854958	2016	design;method;think-aloud
10.1145/2854946.2854958	2016	task;iir;search
10.1145/2854946.2854958	2016	design;method;content analysis
10.1145/3020165.3020172	2017	design;method;interview
10.1145/3020165.3020172	2017	design;method;questionnaire
10.1145/3020165.3020172	2017	design;type;experimental
10.1145/3020165.3020172	2017	annotator;vivien
10.1145/3020165.3020172	2017	design;type;resource paper
10.1145/3020165.3020172	2017	task;iir;collaborative search
10.1145/3020165.3020175	2017	design;method;log analysis
10.1145/3020165.3020175	2017	design;type;experimental
10.1145/3020165.3020175	2017	annotator;maria
10.1145/3020165.3020175	2017	document;type;e-mail
10.1145/3020165.3020175	2017	task;iir;personal information management
10.1145/3020165.3020189	2017	design;method;questionnaire
10.1145/3020165.3020189	2017	data;re-use
10.1145/3020165.3020189	2017	annotator;toine
10.1145/3020165.3020189	2017	design;type;experimental
10.1145/3020165.3020189	2017	document;genre;personal information
10.1145/3020165.3020189	2017	document;type;e-mail
10.1145/3020165.3020189	2017	design;method;data donation
10.1145/3020165.3020166	2017	design;method;controlled experiment
10.1145/3020165.3020166	2017	design;method;interview
10.1145/3020165.3020166	2017	design;method;questionnaire
10.1145/3020165.3020166	2017	document;genre;news
10.1145/3020165.3020166	2017	design;type;experimental
10.1145/3020165.3020166	2017	annotator;vivien
10.1145/3020165.3020166	2017	task;context;learning
10.1145/3020165.3020185	2017	design;method;controlled experiment
10.1145/3020165.3020185	2017	design;method;questionnaire
10.1145/3020165.3020185	2017	design;type;experimental
10.1145/3020165.3020185	2017	document;genre;WWW
10.1145/3020165.3020185	2017	annotator;vivien
10.1145/3020165.3020185	2017	document;topic;science
10.1145/3020165.3020185	2017	task;work;science
10.1145/3020165.3020181	2017	annotator;maria
10.1145/3020165.3020181	2017	design;type;experimental
10.1145/3020165.3020181	2017	task;iir;question answering
10.1145/3020165.3020181	2017	design;method;content analysis
10.1145/3020165.3020177	2017	annotator;maria
10.1145/3020165.3020177	2017	design;method;evaluation
10.1145/3020165.3020177	2017	design;type;experimental
10.1145/3020165.3020177	2017	document;genre;social media
10.1145/3020165.3020177	2017	document;issue;diversity
10.1145/3020165.3020169	2017	annotator;toine
10.1145/3020165.3020169	2017	design;type;theoretical
10.1145/3020165.3020169	2017	research;IIR
10.1145/3020165.3020169	2017	task;iir;information seeking
10.1145/3020165.3020176	2017	design;method;controlled experiment
10.1145/3020165.3020176	2017	design;method;questionnaire
10.1145/3020165.3020176	2017	design;type;experimental
10.1145/3020165.3020176	2017	design;method;log analysis
10.1145/3020165.3020176	2017	design;method;user study
10.1145/3020165.3020176	2017	document;genre;WWW
10.1145/3020165.3020176	2017	annotator;vivien
10.1145/3020165.3020176	2017	document;genre;domain-agnostic
10.1145/3020165.3020184	2017	design;method;questionnaire
10.1145/3020165.3020184	2017	design;type;experimental
10.1145/3020165.3020184	2017	annotator;maria
10.1145/3020165.3020184	2017	research;IIR
10.1145/3020165.3020184	2017	application;technology;search engines
10.1145/3020165.3020183	2017	annotator;toine
10.1145/3020165.3020183	2017	document;genre;WWW
10.1145/3020165.3020183	2017	design;type;theoretical
10.1145/3020165.3020183	2017	task;work;tourism
10.1145/3020165.3020183	2017	application;technology;conversational agents
10.1145/3020165.3020183	2017	task;work;e-commerce
10.1145/3020165.3020183	2017	document;genre;personal information
10.1145/3020165.3020182	2017	design;method;controlled experiment
10.1145/3020165.3020182	2017	design;method;questionnaire
10.1145/3020165.3020182	2017	design;type;experimental
10.1145/3020165.3020182	2017	annotator;vivien
10.1145/3020165.3020182	2017	design;type;resource paper
10.1145/3020165.3020182	2017	design;method;crawling
10.1145/3020165.3020182	2017	design;method;think-aloud
10.1145/3020165.3020182	2017	application;feature;visualization
10.1145/3020165.3020182	2017	document;type;text
10.1145/3020165.3020173	2017	design;method;controlled experiment
10.1145/3020165.3020173	2017	design;type;experimental
10.1145/3020165.3020173	2017	annotator;maria
10.1145/3020165.3020173	2017	application;device;mobile search
10.1145/3020165.3020173	2017	application;technology;search engines
10.1145/3020165.3020180	2017	design;type;experimental
10.1145/3020165.3020180	2017	design;method;user study
10.1145/3020165.3020180	2017	document;genre;WWW
10.1145/3020165.3020180	2017	annotator;vivien
10.1145/3020165.3020180	2017	document;genre;domain-agnostic
10.1145/3020165.3020180	2017	design;method;content analysis
10.1145/3020165.3020188	2017	design;method;questionnaire
10.1145/3020165.3020188	2017	design;method;log analysis
10.1145/3020165.3020188	2017	design;type;experimental
10.1145/3020165.3020188	2017	design;method;user study
10.1145/3020165.3020188	2017	annotator;maria
10.1145/3020165.3020188	2017	unknown
10.1145/3020165.3020188	2017	task;iir;search
10.1145/3020165.3020188	2017	design;method;content analysis
10.1145/3020165.3020174	2017	design;method;questionnaire
10.1145/3020165.3020174	2017	design;type;experimental
10.1145/3020165.3020174	2017	annotator;maria
10.1145/3020165.3020174	2017	design;method;evaluation
10.1145/3020165.3020174	2017	task;iir;search
10.1145/3020165.3020174	2017	application;feature;visualization
10.1145/3020165.3020179	2017	task;context;libraries
10.1145/3020165.3020179	2017	design;method;content analysis
10.1145/3020165.3020179	2017	design;type;experimental
10.1145/3020165.3020179	2017	annotator;vivien
10.1145/3020165.3020179	2017	design;method;observation
10.1145/3020165.3020187	2017	task;context;libraries
10.1145/3020165.3020187	2017	design;type;experimental
10.1145/3020165.3020187	2017	document;type;books
10.1145/3020165.3020187	2017	annotator;maria
10.1145/3020165.3020187	2017	design;method;observation
10.1145/3020165.3020167	2017	annotator;vivien
10.1145/3020165.3020167	2017	design;type;theoretical
10.1145/3020165.3020167	2017	design;method;literature review
10.1145/3020165.3020167	2017	research;IIR
10.1145/3020165.3020167	2017	research;process;methodology
10.1145/3020165.3020170	2017	design;method;questionnaire
10.1145/3020165.3020170	2017	annotator;toine
10.1145/3020165.3020170	2017	design;method;eye-tracking
10.1145/3020165.3020170	2017	design;type;experimental
10.1145/3020165.3020170	2017	infrastructure;share
10.1145/3020165.3020170	2017	design;method;user study
10.1145/3020165.3020170	2017	document;genre;WWW
10.1145/3020165.3020170	2017	document;genre;domain-agnostic
10.1145/3020165.3020170	2017	design;method;crowdsourcing
10.1145/3020165.3020170	2017	design;type;resource paper
10.1145/3020165.3020170	2017	application;technology;search engines
10.1145/3020165.3020168	2017	design;method;log analysis
10.1145/3020165.3020168	2017	design;re-use
10.1145/3020165.3020168	2017	design;type;experimental
10.1145/3020165.3020168	2017	annotator;maria
10.1145/3020165.3020168	2017	document;topic;social sciences
10.1145/3020165.3020168	2017	task;work;social sciences
10.1145/3020165.3020168	2017	application;technology;digital libraries
10.1145/2854946.2854997	2016	data;re-use
10.1145/2854946.2854997	2016	annotator;mark
10.1145/2854946.2854997	2016	design;type;experimental
10.1145/2854946.2854997	2016	task;iir;search
10.1145/2854946.2854997	2016	research;issue;tasks
10.1145/2854946.2854996	2016	document;genre;music
10.1145/2854946.2854996	2016	design;type;experimental
10.1145/2854946.2854996	2016	design;method;user study
10.1145/2854946.2854996	2016	annotator;mark
10.1145/2854946.2854996	2016	application;feature;visualization
10.1145/2854946.2854988	2016	design;method;controlled experiment
10.1145/2854946.2854988	2016	design;method;questionnaire
10.1145/2854946.2854988	2016	design;method;log analysis
10.1145/2854946.2854988	2016	design;type;experimental
10.1145/2854946.2854988	2016	document;genre;WWW
10.1145/2854946.2854988	2016	annotator;maria
10.1145/2854946.2854988	2016	design;method;observation
10.1145/2854946.2854988	2016	design;method;screen recording
10.1145/2854946.2854988	2016	research;issue;user engagement
10.1145/2854946.2854989	2016	design;method;questionnaire
10.1145/2854946.2854989	2016	document;topic;health
10.1145/2854946.2854989	2016	design;type;experimental
10.1145/2854946.2854989	2016	annotator;vivien
10.1145/2854946.2854989	2016	design;method;crowdsourcing
10.1145/2854946.2854981	2016	annotator;vivien
10.1145/2854946.2854981	2016	design;type;experimental
10.1145/2854946.2854981	2016	design;method;simulation
10.1145/2854946.2854981	2016	research;IIR
10.1145/2854946.2854985	2016	document;topic;health
10.1145/2854946.2854985	2016	design;method;eye-tracking
10.1145/2854946.2854985	2016	design;type;experimental
10.1145/2854946.2854985	2016	annotator;maria
10.1145/2854946.2854985	2016	design;method;screen recording
10.1145/2854946.2854985	2016	research;issue;usability
10.1145/2854946.2854980	2016	data;share
10.1145/2854946.2854980	2016	annotator;mark
10.1145/2854946.2854980	2016	design;type;resource paper
10.1145/2854946.2854980	2016	document;type;videos
10.1145/2854946.2854980	2016	task;iir;search
10.1145/2854946.2854980	2016	design;method;evaluation
10.1145/2854946.2854982	2016	infrastructure;re-use
10.1145/2854946.2854982	2016	design;type;experimental
10.1145/2854946.2854982	2016	design;method;user study
10.1145/2854946.2854982	2016	annotator;mark
10.1145/2854946.2854982	2016	application;technology;web archiving
10.1145/2854946.2854987	2016	annotator;vivien
10.1145/2854946.2854987	2016	design;type;resource paper
10.1145/2854946.2854987	2016	document;type;speech
10.1145/2854946.2855006	2016	annotator;toine
10.1145/2854946.2855006	2016	design;method;log analysis
10.1145/2854946.2855006	2016	design;type;experimental
10.1145/2854946.2855006	2016	application;technology;search engines
10.1145/2854946.2855006	2016	research;IIR
10.1145/2854946.2855006	2016	document;genre;WWW
10.1145/2854946.2854994	2016	design;method;controlled experiment
10.1145/2854946.2854994	2016	design;type;experimental
10.1145/2854946.2854994	2016	annotator;toine
10.1145/2854946.2854994	2016	document;genre;WWW
10.1145/2854946.2854994	2016	application;technology;search engines
10.1145/2854946.2854986	2016	design;method;controlled experiment
10.1145/2854946.2854986	2016	design;method;questionnaire
10.1145/2854946.2854986	2016	design;type;experimental
10.1145/2854946.2854986	2016	annotator;toine
10.1145/2854946.2854986	2016	design;method;log analysis
10.1145/2854946.2854986	2016	design;re-use
10.1145/2854946.2854986	2016	document;genre;WWW
10.1145/2854946.2854986	2016	research;IIR
10.1145/2854946.2854986	2016	application;technology;search engines
10.1145/2854946.2855005	2016	data;re-use
10.1145/2854946.2855005	2016	annotator;mark
10.1145/2854946.2855005	2016	design;method;data analysis
10.1145/2854946.2855005	2016	design;type;experimental
10.1145/2854946.2855005	2016	research;issue;ir
10.1145/2854946.2854992	2016	annotator;mark
10.1145/2854946.2854992	2016	design;type;theoretical
10.1145/2854946.2854992	2016	research;IIR
10.1145/2854946.2855004	2016	annotator;toine
10.1145/2854946.2855004	2016	design;method;log analysis
10.1145/2854946.2855004	2016	design;type;experimental
10.1145/2854946.2855004	2016	task;context;archives/museums
10.1145/2854946.2854991	2016	annotator;maria
10.1145/2854946.2854991	2016	design;type;resource paper
10.1145/2854946.2854991	2016	document;genre;social media
10.1145/2854946.2854991	2016	task;iir;search
10.1145/2854946.2854998	2016	design;method;questionnaire
10.1145/2854946.2854998	2016	design;type;experimental
10.1145/2854946.2854998	2016	design;method;log analysis
10.1145/2854946.2854998	2016	annotator;maria
10.1145/2854946.2854998	2016	task;iir;exploratory search
10.1145/2854946.2854998	2016	document;type;images
10.1145/2854946.2854998	2016	research;issue;UX
10.1145/2854946.2854998	2016	design;method;observation
10.1145/2854946.2854999	2016	design;method;questionnaire
10.1145/2854946.2854999	2016	design;type;experimental
10.1145/2854946.2854999	2016	design;method;log analysis
10.1145/2854946.2854999	2016	annotator;maria
10.1145/2854946.2854999	2016	design;type;resource paper
10.1145/2854946.2854999	2016	task;iir;exploratory search
10.1145/2854946.2854999	2016	document;type;images
10.1145/2854946.2854999	2016	task;iir;search
10.1145/2854946.2854999	2016	research;issue;UX
10.1145/2854946.2854990	2016	design;method;controlled experiment
10.1145/2854946.2854990	2016	design;method;questionnaire
10.1145/2854946.2854990	2016	design;type;experimental
10.1145/2854946.2854990	2016	document;type;books
10.1145/2854946.2854990	2016	annotator;maria
10.1145/2854946.2854990	2016	document;issue;multilinguality
10.1145/2854946.2854995	2016	annotator;maria
10.1145/2854946.2854995	2016	application;technology;conversational agents
10.1145/2854946.2854995	2016	design;type;resource paper
10.1145/2854946.2854995	2016	document;type;speech
10.1145/2854946.2855000	2016	design;method;controlled experiment
10.1145/2854946.2855000	2016	design;method;questionnaire
10.1145/2854946.2855000	2016	design;type;experimental
10.1145/2854946.2855000	2016	annotator;toine
10.1145/2854946.2855000	2016	design;share
10.1145/2854946.2855000	2016	research;IIR
10.1145/2854946.2855003	2016	annotator;vivien
10.1145/2854946.2855003	2016	design;type;experimental
10.1145/2854946.2855003	2016	design;method;evaluation
10.1145/2854946.2855003	2016	application;feature;personalization
10.1145/2854946.2855003	2016	application;feature;profiling
10.1145/2854946.2855002	2016	design;type;experimental
10.1145/2854946.2855002	2016	annotator;vivien
10.1145/2854946.2855002	2016	design;method;factor analysis
10.1145/2854946.2855002	2016	research;IIR
10.1145/2854946.2855002	2016	user;issue;information literacy
10.1145/2854946.2854983	2016	design;method;interview
10.1145/2854946.2854983	2016	annotator;vivien
10.1145/2854946.2854983	2016	design;type;theoretical
10.1145/2854946.2854983	2016	research;IIR
10.1145/2854946.2854993	2016	design;type;experimental
10.1145/2854946.2854993	2016	annotator;maria
10.1145/2854946.2854993	2016	research;process;evaluation
10.1145/2854946.2854993	2016	research;process;relevance assessment
10.1145/2854946.2854974	2016	design;type;experimental
10.1145/2854946.2854974	2016	annotator;vivien
10.1145/2854946.2854974	2016	design;method;evaluation
10.1145/2854946.2854974	2016	document;genre;Wikipedia
10.1145/2854946.2854960	2016	design;method;controlled experiment
10.1145/2854946.2854960	2016	design;type;experimental
10.1145/2854946.2854960	2016	design;method;content analysis
10.1145/2854946.2854960	2016	annotator;maria
10.1145/2854946.2854960	2016	task;work;research
10.1145/2854946.2854960	2016	document;topic;science
10.1145/2854946.2854960	2016	task;work;science
10.1145/2854946.2854960	2016	data;re-use
10.1145/2854946.2854970	2016	design;method;log analysis
10.1145/2854946.2854970	2016	design;type;experimental
10.1145/2854946.2854970	2016	document;type;books
10.1145/2854946.2854970	2016	annotator;maria
10.1145/2854946.2854969	2016	design;method;log analysis
10.1145/2854946.2854969	2016	design;type;experimental
10.1145/2854946.2854969	2016	document;genre;WWW
10.1145/2854946.2854969	2016	annotator;vivien
10.1145/2854946.2854969	2016	design;type;resource paper
10.1145/2854946.2854969	2016	task;iir;exploratory search
10.1145/2854946.2854969	2016	design;method;crawling
10.1145/2854946.2854959	2016	design;method;controlled experiment
10.1145/2854946.2854959	2016	design;type;experimental
10.1145/2854946.2854959	2016	design;method;user study
10.1145/2854946.2854959	2016	annotator;vivien
10.1145/2854946.2854959	2016	document;topic;history
10.1145/2854946.2854959	2016	task;work;history
10.1145/2854946.2854959	2016	design;type;resource paper
10.1145/2854946.2854959	2016	design;method;evaluation
10.1145/2854946.2854968	2016	design;method;interview
10.1145/2854946.2854968	2016	design;method;questionnaire
10.1145/2854946.2854968	2016	design;type;experimental
10.1145/2854946.2854968	2016	design;method;user study
10.1145/2854946.2854968	2016	annotator;vivien
10.1145/2854946.2854968	2016	document;genre;domain-agnostic
10.1145/2854946.2854968	2016	design;method;think-aloud
10.1145/2854946.2854968	2016	design;method;screen recording
10.1145/2854946.2854968	2016	research;IIR
10.1145/2854946.2854968	2016	research;process;relevance assessment
10.1145/2854946.2854972	2016	design;method;questionnaire
10.1145/2854946.2854972	2016	design;type;experimental
10.1145/2854946.2854972	2016	design;method;log analysis
10.1145/2854946.2854972	2016	annotator;maria
10.1145/2854946.2854972	2016	task;work;search-as-learning
10.1145/2854946.2854972	2016	task;iir;exploratory search
10.1145/2854946.2854962	2016	design;method;log analysis
10.1145/2854946.2854962	2016	design;type;experimental
10.1145/2854946.2854962	2016	annotator;vivien
10.1145/2854946.2854962	2016	document;topic;social sciences
10.1145/2854946.2854962	2016	task;work;social sciences
10.1145/2854946.2854962	2016	research;IIR
10.1145/2854946.2854976	2016	design;method;controlled experiment
10.1145/2854946.2854976	2016	design;method;questionnaire
10.1145/2854946.2854976	2016	data;re-use
10.1145/2854946.2854976	2016	design;type;experimental
10.1145/2854946.2854976	2016	infrastructure;re-use
10.1145/2854946.2854976	2016	design;method;user study
10.1145/2854946.2854976	2016	annotator;mark
10.1145/2854946.2854976	2016	research;IIR
10.1145/2854946.2854967	2016	design;method;controlled experiment
10.1145/2854946.2854967	2016	data;re-use
10.1145/2854946.2854967	2016	design;type;experimental
10.1145/2854946.2854967	2016	annotator;toine
10.1145/2854946.2854967	2016	design;re-use
10.1145/2854946.2854967	2016	document;genre;WWW
10.1145/2854946.2854967	2016	design;method;crowdsourcing
10.1145/2854946.2854967	2016	application;technology;search engines
10.1145/2854946.2854961	2016	design;method;questionnaire
10.1145/2854946.2854961	2016	annotator;toine
10.1145/2854946.2854961	2016	design;re-use
10.1145/2854946.2854961	2016	design;type;experimental
10.1145/2854946.2854961	2016	design;share
10.1145/2854946.2854961	2016	design;method;user study
10.1145/2854946.2854961	2016	application;technology;conversational agents
10.1145/2854946.2854978	2016	data;re-use
10.1145/2854946.2854978	2016	annotator;toine
10.1145/2854946.2854978	2016	design;method;log analysis
10.1145/2854946.2854978	2016	design;re-use
10.1145/2854946.2854978	2016	design;type;experimental
10.1145/2854946.2854978	2016	design;method;user study
10.1145/2854946.2854978	2016	document;genre;WWW
10.1145/2854946.2854978	2016	research;IIR
10.1145/2854946.2854978	2016	application;technology;search engines
10.1145/2854946.2854975	2016	design;method;questionnaire
10.1145/2854946.2854975	2016	annotator;toine
10.1145/2854946.2854975	2016	design;method;log analysis
10.1145/2854946.2854975	2016	design;type;experimental
10.1145/2854946.2854975	2016	design;method;user study
10.1145/2854946.2854975	2016	document;genre;WWW
10.1145/2854946.2854965	2016	design;type;experimental
10.1145/2854946.2854965	2016	annotator;maria
10.1145/2854946.2854965	2016	research;process;evaluation
10.1145/2854946.2854965	2016	design;method;observation
10.1145/2854946.2854965	2016	task;context;archives/museums
10.1145/2854946.2854965	2016	research;issue;UX
10.1145/2854946.2854973	2016	design;method;questionnaire
10.1145/2854946.2854973	2016	design;type;experimental
10.1145/2854946.2854973	2016	task;work;academic
10.1145/2854946.2854973	2016	task;context;learning
10.1145/2854946.2854973	2016	research;issue;user engagement
10.1145/2854946.2854973	2016	annotator;maria
10.1145/2854946.2854979	2016	annotator;mark
10.1145/2854946.2854979	2016	design;type;theoretical
10.1145/2854946.2854979	2016	task;iir;search
10.1145/2854946.2854964	2016	design;method;controlled experiment
10.1145/2854946.2854964	2016	data;re-use
10.1145/2854946.2854964	2016	design;type;experimental
10.1145/2854946.2854964	2016	annotator;toine
10.1145/2854946.2854964	2016	design;re-use
10.1145/2854946.2854964	2016	user;issue;privacy
10.1145/2854946.2854964	2016	document;topic;legal
10.1145/2854946.2854964	2016	task;work;legal
10.1145/2854946.2854977	2016	design;method;questionnaire
10.1145/2854946.2854977	2016	user;issue;privacy
10.1145/2854946.2854977	2016	design;method;diary study
10.1145/2854946.2854977	2016	design;type;experimental
10.1145/2854946.2854977	2016	annotator;maria
10.1145/2854946.2854977	2016	task;iir;collaborative search
10.1145/2854946.2854977	2016	task;work;collaboration
10.1145/2854946.2854963	2016	design;method;controlled experiment
10.1145/2854946.2854963	2016	design;method;questionnaire
10.1145/2854946.2854963	2016	design;method;log analysis
10.1145/2854946.2854963	2016	design;type;experimental
10.1145/2854946.2854963	2016	design;method;user study
